CONFIGURATION:
{u'simulation': {u'stdev_factor': 0.01, u'power_mgmt_enabled': False, u'tasks': {u'loc': {u'mean_service_time': {u'gpu': 90, u'cpu_core': 200, u'loc_accel': 10}, u'priority': 1, u'deadline': 1000, u'stdev_service_time': {u'gpu': 0.9, u'cpu_core': 2.0, u'loc_accel': 0.1}, u'power': {u'gpu': 4.457, u'cpu_core': 6.133, u'loc_accel': 0.02197}}, u'detect': {u'mean_service_time': {u'gpu': 0.4607, u'cpu_core': 3.654, u'det_accel': 0.278}, u'priority': 2, u'deadline': 1000, u'stdev_service_time': {u'gpu': 0.004607, u'cpu_core': 0.03654, u'det_accel': 0.0027800000000000004}, u'power': {u'gpu': 90, u'cpu_core': 200, u'det_accel': 10}}, u'Frontier': {u'mean_service_time': {u'cpu_core': 396}, u'priority': 9, u'deadline': 1000, u'stdev_service_time': {u'cpu_core': 3.96}, u'power': {u'cpu_core': 5.98}}, u'track': {u'mean_service_time': {u'gpu': 17, u'tra_accel': 2, u'cpu_core': 1820}, u'priority': 3, u'deadline': 1000, u'stdev_service_time': {u'gpu': 0.17, u'tra_accel': 0.02, u'cpu_core': 18.2}, u'power': {u'gpu': 12.79, u'tra_accel': 0.59, u'cpu_core': 5.6}}, u'sp': {u'mean_service_time': {u'gpu': 379, u'cpu_core': 1004}, u'priority': 11, u'deadline': 1000, u'stdev_service_time': {u'gpu': 3.79, u'cpu_core': 10.040000000000001}, u'power': {u'gpu': 3.302, u'cpu_core': 1004}}, u'mission': {u'mean_service_time': {u'cpu_core': 0.0022}, u'priority': 5, u'deadline': 1000, u'stdev_service_time': {u'cpu_core': 2.2000000000000003e-05}, u'power': {u'cpu_core': 3.534}}, u'motion': {u'mean_service_time': {u'cpu_core': 8}, u'priority': 6, u'deadline': 1000, u'stdev_service_time': {u'cpu_core': 0.08}, u'power': {u'cpu_core': 4.222}}, u'collision': {u'mean_service_time': {u'cpu_core': 8}, u'priority': 7, u'deadline': 1000, u'stdev_service_time': {u'cpu_core': 0.08}, u'power': {u'cpu_core': 0}}, u'fusion': {u'mean_service_time': {u'cpu_core': 1}, u'priority': 4, u'deadline': 1000, u'stdev_service_time': {u'cpu_core': 0.01}, u'power': {u'cpu_core': 0}}, u'map': {u'mean_service_time': {u'gpu': 761, u'cpu_core': 973}, u'priority': 10, u'deadline': 1000, u'stdev_service_time': {u'gpu': 7.61, u'cpu_core': 9.73}, u'power': {u'gpu': 3.533, u'cpu_core': 2.995}}, u'path': {u'mean_service_time': {u'cpu_core': 8}, u'priority': 8, u'deadline': 1000, u'stdev_service_time': {u'cpu_core': 0.08}, u'power': {u'cpu_core': 0}}}, u'sched_policy_module': u'policies.ms1_update2', u'drop': True, u'servers': {u'gpu': {u'count': 2}, u'tra_accel': {u'count': 1}, u'cpu_core': {u'count': 8}, u'loc_accel': {u'count': 1}, u'det_accel': {u'count': 1}}, u'max_tasks_simulated': 10000, u'max_queue_size': 1000000, u'mean_arrival_time': 50, u'arrival_time_scale': 2.5}, u'general': {u'random_seed': 0, u'pre_gen_arrivals': False, u'basename': u'policy:ms1_update2__stdev_factor:0.01', u'output_trace_file': None, u'working_dir': u'/home/hiwot/meta-stomp2/sim_16042020_195305_new_arrival_50_map_rheftmapping_50_trace_20', u'input_trace_file': (False, '../mv_mapping_50_trace_20.trc'), u'logging_level': u'INFO'}}

/home/hiwot/meta-stomp2/sim_16042020_195305_new_arrival_50_map_rheftmapping_50_trace_20/../mv_mapping_50_trace_20.trc

Running STOMP simulation...
Dropped,DAG ID,DAG Priority,DAG Type,Slack,Response Time,No-Affinity Time,Energy
0,0,3,2,1881.0,969,196,3360.1027
0,1,1,0,2376.0,1464,295,6320.2027
0,2,1,2,1620.0,1230,245,3642.1397
0,3,1,2,1616.0,1234,247,3642.18364
0,4,1,2,1618.0,1232,247,3642.1397
0,5,1,2,1618.0,1232,247,3642.1397
0,6,1,1,403.5,14,2,0.2197
0,7,1,1,398.5,19,2,0.32955
0,8,1,1,403.5,14,2,0.2197
0,9,1,1,403.5,14,2,0.2197
0,10,1,2,1709.0,1141,194,3974.8447
0,11,3,1,403.5,14,2,0.2197
0,12,1,1,403.5,14,2,0.2197
0,13,1,1,403.5,14,2,0.2197
0,14,1,2,1883.0,967,194,3360.1027
0,15,1,1,403.5,14,2,0.2197
0,16,3,0,2202.0,1638,251,6010.2197
0,17,1,1,403.5,14,2,0.2197
0,18,1,2,1401.0,1449,249,3642.1397
0,19,1,0,2065.0,1775,297,6685.2437
0,20,1,0,2179.0,1661,251,6010.2197
0,21,1,0,2189.0,1651,251,6010.2197
0,22,3,2,1520.0,1330,196,3360.1027
0,23,1,2,1611.0,1239,247,3642.1397
0,24,1,0,2113.0,1727,346,6602.2397
0,25,3,2,1618.0,1232,247,3642.1397
0,26,3,0,2101.0,1739,348,6602.4594
0,27,3,1,24.5,393,4,0.2197
0,28,1,2,1825.0,1025,194,3565.0167
0,29,1,0,1973.0,1867,295,7744.0017
0,30,3,1,262.5,155,4,0.2197
0,31,1,1,292.5,125,4,0.2197
0,32,1,2,1618.0,1232,247,3642.1397
0,33,1,2,1456.0,1394,245,4133.3197
0,34,1,0,1835.0,2005,247,7109.6044
0,35,1,1,155.5,262,4,0.2197
0,36,3,0,2094.0,1746,293,7323.5747
0,37,1,2,1618.0,1232,247,3642.1397
0,38,1,1,403.5,14,2,0.2197
0,39,1,1,403.5,14,2,0.2197
0,40,1,1,403.5,14,2,0.2197
0,41,1,1,403.5,14,2,0.2197
0,42,1,1,403.5,14,2,0.2197
0,43,1,1,403.5,14,2,0.2197
0,44,1,0,2373.0,1467,295,6320.2027
0,45,1,0,2368.0,1472,297,6320.2027
0,46,1,0,2108.0,1732,348,6620.1797
0,47,1,1,403.5,14,2,0.2197
0,48,1,0,2212.0,1628,247,6010.2197
0,49,1,2,1620.0,1230,245,3642.1397
0,50,1,1,403.5,14,2,0.2197
0,51,1,1,403.5,14,2,0.2197
0,52,1,2,1772.0,1078,194,3752.2657
0,53,1,2,1618.0,1232,247,3642.1397
0,54,1,2,1822.0,1028,194,3575.6157
0,55,1,0,2113.0,1727,346,6602.2397
0,56,3,2,1618.0,1232,247,3642.1397
0,57,1,1,298.5,119,4,0.2197
0,58,1,0,2212.0,1628,247,6010.2197
0,59,3,1,381.5,36,4,0.2197
0,60,1,0,2269.0,1571,293,6705.2997
0,61,1,2,1684.0,1166,194,4063.1697
0,62,3,1,401.5,16,4,0.2197
0,63,1,2,1618.0,1232,245,3642.18364
0,64,1,2,1620.0,1230,245,3642.1397
0,65,1,2,1620.0,1230,245,3642.1397
0,66,1,2,1730.0,1120,194,3900.6517
0,67,1,2,1715.0,1135,194,3953.6467
0,68,1,0,2212.0,1628,247,6010.2197
0,69,1,0,2212.0,1628,247,6010.2197
0,70,3,2,1881.0,969,196,3360.1027
0,71,1,0,2342.0,1498,293,6447.3907
0,72,1,1,403.5,14,2,0.2197
0,73,1,1,403.5,14,2,0.2197
0,74,1,1,403.5,14,2,0.2197
0,75,1,2,1620.0,1230,245,3642.1397
0,76,1,0,2113.0,1727,346,6602.2397
0,77,1,0,2207.0,1633,249,6010.2197
0,78,1,0,2305.0,1535,295,6571.0457
0,79,1,1,398.5,19,2,0.32955
0,80,1,1,403.5,14,2,0.2197
0,81,1,2,1813.0,1037,194,3607.4127
0,82,1,0,2108.0,1732,348,6620.1797
0,83,1,2,1618.0,1232,247,3642.1397
0,84,1,1,403.5,14,2,0.2197
0,85,1,2,1618.0,1232,247,3642.1397
0,86,1,1,403.5,14,2,0.2197
0,87,3,0,2201.0,1639,293,6945.5437
0,88,1,1,403.5,14,2,0.2197
0,89,3,2,1883.0,967,194,3360.1027
0,90,3,2,1620.0,1230,245,3642.1397
0,91,3,0,2113.0,1727,346,6602.2397
0,92,3,1,289.5,128,4,0.2197
0,93,3,0,2212.0,1628,247,6010.2197
0,94,1,1,403.5,14,2,0.2197
0,95,1,0,2115.0,1725,295,7242.3157
0,96,3,2,1862.0,988,194,3434.2957
0,97,1,2,1620.0,1230,245,3642.1397
0,98,3,1,403.5,14,2,0.2197
0,99,1,0,2105.0,1735,346,6602.41546
0,100,1,2,1618.0,1232,247,3642.1397
0,101,1,2,1618.0,1232,247,3642.1397
0,102,1,1,403.5,14,2,0.2197
0,103,1,0,2364.0,1476,295,6320.2027
0,104,1,2,1839.0,1011,194,3515.5547
0,105,1,2,1620.0,1230,245,3642.1397
0,106,1,0,2190.0,1650,251,6010.2197
0,107,1,1,403.5,14,2,0.2197
0,108,1,0,2167.0,1673,251,6010.2197
0,109,3,0,2198.0,1642,251,6010.2197
0,110,3,0,2348.0,1492,295,6419.1267
0,111,1,0,2037.0,1803,293,8359.3827
0,112,1,2,1586.0,1264,249,3642.1397
0,113,1,1,403.5,14,2,0.2197
0,114,1,2,1618.0,1232,247,3642.1397
0,115,3,2,1618.0,1232,247,3642.1397
0,116,3,1,401.5,16,2,0.26364
0,117,1,0,2212.0,1628,247,6010.2197
0,118,3,1,334.5,83,4,0.2197
0,119,3,1,360.5,57,4,0.2197
0,120,3,0,2212.0,1628,247,6010.2197
0,121,1,1,146.5,271,4,0.2197
0,122,1,1,150.5,267,4,0.28561
0,123,3,1,226.5,191,4,0.2197
0,124,1,2,1646.0,1204,194,4197.4237
0,125,1,1,144.5,273,4,0.2197
0,126,1,2,1883.0,967,194,3360.1027
0,128,3,0,1894.0,1946,350,7158.3797
0,136,1,1,403.5,14,2,0.2197
0,137,1,1,403.5,14,2,0.2197
0,143,3,2,1568.0,1282,196,4169.1597
0,145,3,1,353.5,64,4,0.2197
0,149,3,1,93.5,324,4,0.2197
0,152,1,0,370.0,3470,350,8125.1347
0,153,1,0,497.0,3343,350,7724.6047
0,157,2,2,350.0,2500,249,4384.8997
0,158,3,0,1751.0,2089,297,8524.9907
0,159,1,2,454.0,2396,249,4136.3147
0,160,1,0,1648.0,2192,297,9204.8137
0,161,1,0,1650.0,2190,350,7719.43455
0,162,1,2,722.0,2128,249,5139.6397
0,163,1,2,821.0,2029,249,5013.8497
0,164,1,2,929.0,1921,196,5822.6037
0,165,3,2,1503.0,1347,249,3740.9747
0,167,1,0,1963.0,1877,346,7242.5297
